TRACT_GEOID,BOROUGH,total_kiosks,live_kiosks,live_percentage,POP20,LAND_AREA_SQMI,POPULATION_DENSITY,kiosks_per_sqmi,kiosks_per_1000_pop,link_5g_count,link_1_count
36005017701,BRONX,0,0,0.0,4754,0.04117007317072201,115472.22615530339,0.0,0.0,,
36005017702,BRONX,0,0,0.0,4979,0.05440411075863974,91518.81963642428,0.0,0.0,,
36005017901,BRONX,0,0,0.0,5124,0.029622915913695064,172974.1938615539,0.0,0.0,,
36005017902,BRONX,1,1,100.0,3447,0.029939905785899536,115130.62280988858,33.4,0.29,0.0,1.0
36005018101,BRONX,0,0,0.0,3299,0.02981712529946711,110641.11536127728,0.0,0.0,,
36005018102,BRONX,0,0,0.0,5510,0.03721291214730712,148066.8854452641,0.0,0.0,,
36005018301,BRONX,0,0,0.0,4423,0.02620629791230972,168776.22374591156,0.0,0.0,,
36005018302,BRONX,0,0,0.0,3686,0.043353866979721385,85021.25085460342,0.0,0.0,,
36005018400,BRONX,0,0,0.0,4329,0.1727467389802033,25059.807354720033,0.0,0.0,,
36005018501,BRONX,0,0,0.0,3076,0.07107407145587244,43278.79263128731,0.0,0.0,,
36005018502,BRONX,0,0,0.0,6442,0.08787762349997816,73306.48853973164,0.0,0.0,,
36005018900,BRONX,0,0,0.0,8360,0.13728634453074767,60894.62159237281,0.0,0.0,,
36005019300,BRONX,0,0,0.0,6020,0.093161431540317,64619.01562123114,0.0,0.0,,
36005019400,BRONX,0,0,0.0,2022,0.3243806397242496,6233.417634661759,0.0,0.0,,
36005019500,BRONX,4,4,100.0,7509,0.08488224295361727,88463.73209180146,47.12,0.53,0.0,4.0
36005019700,BRONX,2,2,100.0,7213,0.057177096461651325,126151.91127863163,34.98,0.28,0.0,2.0
36005019900,BRONX,0,0,0.0,7909,0.06837405906083484,115672.5241800122,0.0,0.0,,
36005020000,BRONX,0,0,0.0,5235,0.13200639751199475,39657.16888474532,0.0,0.0,,
36005020100,BRONX,0,0,0.0,4345,0.1088070632108037,39933.06934111402,0.0,0.0,,
36005020200,BRONX,0,0,0.0,2789,0.048190568720410075,57874.3948049482,0.0,0.0,,
36005020400,BRONX,0,0,0.0,3129,0.051845411753647014,60352.495894294705,0.0,0.0,,
36005020501,BRONX,0,0,0.0,7859,0.10429970661139445,75350.16401610305,0.0,0.0,,
36005020502,BRONX,0,0,0.0,2462,0.03928473633031466,62670.6509953119,0.0,0.0,,
36005020601,BRONX,0,0,0.0,3277,0.058514168236857275,56003.53040540808,0.0,0.0,,
36005020900,BRONX,1,1,100.0,4823,0.05114579464227734,94299.0530058807,19.55,0.21,0.0,1.0
36005021001,BRONX,0,0,0.0,8946,0.0742883719261553,120422.61484600272,0.0,0.0,,
36005021002,BRONX,0,0,0.0,7855,0.06643003469232144,118244.7071777301,0.0,0.0,,
36005021100,BRONX,0,0,0.0,5822,0.05855895608725401,99421.17122656872,0.0,0.0,,
36005021200,BRONX,0,0,0.0,6596,0.0390036539588593,169112.36077925932,0.0,0.0,,
36005021301,BRONX,2,1,50.0,1264,0.023958797247142574,52757.239312200865,83.48,1.58,1.0,1.0
36005021302,BRONX,0,0,0.0,5830,0.06535396797632403,89206.51921413632,0.0,0.0,,
36005021501,BRONX,0,0,0.0,4078,0.035503637891217965,114861.46891467473,0.0,0.0,,
36005021502,BRONX,4,3,75.0,6360,0.060126530851139705,105776.93257816562,66.53,0.63,2.0,2.0
36005021601,BRONX,0,0,0.0,4701,0.0633389008106296,74219.79131047809,0.0,0.0,,
36005021602,BRONX,0,0,0.0,6237,0.0638968184297958,97610.4938128127,0.0,0.0,,
36005021700,BRONX,1,1,100.0,5006,0.06235935963428033,80276.64218104142,16.04,0.2,0.0,1.0
36005021800,BRONX,0,0,0.0,6610,0.11578779023815673,57087.19361863889,0.0,0.0,,
36005021900,BRONX,1,1,100.0,1176,0.05518905644705836,21308.572309586605,18.12,0.85,0.0,1.0
36005022000,BRONX,0,0,0.0,2511,0.08826681447583944,28447.83755833078,0.0,0.0,,
36005022101,BRONX,0,0,0.0,4001,0.026300892941164892,152124.11262804797,0.0,0.0,,
36005022102,BRONX,1,1,100.0,5457,0.030229096302685346,180521.44018328586,33.08,0.18,0.0,1.0
36005022200,BRONX,0,0,0.0,3968,0.08540155035692423,46462.856744593984,0.0,0.0,,
36005022300,BRONX,1,1,100.0,5063,0.03581676674183651,141358.3765529025,27.92,0.2,0.0,1.0
36005022401,BRONX,0,0,0.0,2787,0.03283914689477088,84868.22172727593,0.0,0.0,,
36005022403,BRONX,0,0,0.0,3275,0.048204854500278,67939.21554064877,0.0,0.0,,
36005022404,BRONX,0,0,0.0,4489,0.03579939214469985,125393.19052836495,0.0,0.0,,
36005022500,BRONX,0,0,0.0,8141,0.06950688279414534,117125.09139721812,0.0,0.0,,
36005022701,BRONX,2,2,100.0,5669,0.04524847027193496,125286.00339260876,44.2,0.35,0.0,2.0
36005022702,BRONX,1,1,100.0,1634,0.018290431456845568,89336.32888077345,54.67,0.61,0.0,1.0
36005022703,BRONX,0,0,0.0,1699,0.014926709451187403,113822.80907630626,0.0,0.0,,
36005022800,BRONX,0,0,0.0,6336,0.06648563340315876,95298.78374745203,0.0,0.0,,
36005022901,BRONX,0,0,0.0,5766,0.04706315041731987,122516.23507715783,0.0,0.0,,
36005022902,BRONX,0,0,0.0,3401,0.0353673438292348,96162.15502134255,0.0,0.0,,
36005023000,BRONX,0,0,0.0,3001,0.06153812034295401,48766.52038241218,0.0,0.0,,
36005023100,BRONX,4,4,100.0,1464,0.04522916516400533,32368.49485705505,88.44,2.73,0.0,4.0
36005023200,BRONX,0,0,0.0,3000,0.055099094644106304,54447.35561223774,0.0,0.0,,
36005023301,BRONX,5,5,100.0,4577,0.04598940031427403,99522.93286545436,108.72,1.09,0.0,5.0
36005023302,BRONX,0,0,0.0,3574,0.024161114778245063,147923.63816002684,0.0,0.0,,
36005023501,BRONX,0,0,0.0,3570,0.02633216721601089,135575.62393988267,0.0,0.0,,
36005023502,BRONX,2,2,100.0,4417,0.03715847174294557,118869.25895542394,53.82,0.45,2.0,0.0
36005023600,BRONX,0,0,0.0,2204,0.0355484257416147,61999.93259954382,0.0,0.0,,
36005023702,BRONX,3,3,100.0,1179,0.018491204579313688,63760.043048734646,162.24,2.54,0.0,3.0
36005023703,BRONX,3,3,100.0,5086,0.03883917443929888,130950.26023142762,77.24,0.59,0.0,3.0
36005023704,BRONX,1,1,100.0,3970,0.02604876823160397,152406.43874988882,38.39,0.25,0.0,1.0
36005023800,BRONX,0,0,0.0,2750,0.13109944354146089,20976.44296354544,0.0,0.0,,
36005023900,BRONX,5,5,100.0,8213,0.0689142159807058,119177.15210312235,72.55,0.61,1.0,4.0
36005024000,BRONX,0,0,0.0,4583,0.09257918948515946,49503.565817398514,0.0,0.0,,
36005024100,BRONX,5,5,100.0,6331,0.051992902778229357,121766.6193211843,96.17,0.79,0.0,5.0
36005024300,BRONX,3,3,100.0,5577,0.05808211992139223,96019.22256880185,51.65,0.54,0.0,3.0
36005024400,BRONX,0,0,0.0,2407,0.06784509910356307,35477.87580538135,0.0,0.0,,
36005024501,BRONX,0,0,0.0,5059,0.04365425445910638,115887.90285581617,0.0,0.0,,
36005024502,BRONX,2,2,100.0,3797,0.03866967559167675,98190.63495886336,51.72,0.53,1.0,1.0
36005024600,BRONX,0,0,0.0,2297,0.05885586864721167,39027.54394414705,0.0,0.0,,
36005024700,BRONX,0,0,0.0,1921,0.05848443837064565,32846.34431856292,0.0,0.0,,
36005024800,BRONX,0,0,0.0,3620,0.10730203699661,33736.54500253678,0.0,0.0,,
36005024900,BRONX,0,0,0.0,4,0.06725629331170946,59.473988277370495,0.0,0.0,,
36005025000,BRONX,0,0,0.0,2672,0.07015900934000813,38084.91632273225,0.0,0.0,,
36005025100,BRONX,2,2,100.0,6924,0.08082199265385817,85669.75117346938,24.75,0.29,0.0,2.0
36005025200,BRONX,0,0,0.0,2682,0.0736366314824511,36422.089739930154,0.0,0.0,,
36005025300,BRONX,2,2,100.0,6234,0.04805388855626832,129729.35567327392,41.62,0.32,0.0,2.0
36005025400,BRONX,0,0,0.0,2163,0.06560802319667793,32968.52876538923,0.0,0.0,,
36005025500,BRONX,1,1,100.0,8092,0.06511072361641074,124280.60311036788,15.36,0.12,0.0,1.0
36005025600,BRONX,0,0,0.0,1908,0.07308257488487081,26107.454519845942,0.0,0.0,,
36005025700,BRONX,0,0,0.0,1809,0.061197578239075394,29559.993255499965,0.0,0.0,,
36005026100,BRONX,0,0,0.0,2060,0.06833969596872011,30143.53474652399,0.0,0.0,,
36005026300,BRONX,2,2,100.0,6788,0.06130298412837116,110728.70426316651,32.62,0.29,0.0,2.0
36005026400,BRONX,0,0,0.0,5693,0.1646764316613021,34570.824389181966,0.0,0.0,,
36005026500,BRONX,5,5,100.0,7166,0.07804553203141926,91818.19655115095,64.07,0.7,0.0,5.0
36005026601,BRONX,0,0,0.0,3328,0.06573389250037909,50628.372570220265,0.0,0.0,,
36005026602,BRONX,0,0,0.0,6409,0.11714223661049934,54711.26542777285,0.0,0.0,,
36005026701,BRONX,1,1,100.0,3983,0.026689311712708982,149235.77059139241,37.47,0.25,0.0,1.0
36005026702,BRONX,0,0,0.0,7022,0.06423504392072286,109317.27560841027,0.0,0.0,,
36005026900,BRONX,0,0,0.0,4126,0.14749141068450697,27974.510385731974,0.0,0.0,,
36005027300,BRONX,0,0,0.0,7939,0.07844090064181801,101209.95469253449,0.0,0.0,,
36005027401,BRONX,0,0,0.0,5136,0.2707024010237638,18972.864594389514,0.0,0.0,,
36005027402,BRONX,0,0,0.0,3553,0.1974020645214468,17998.79858710385,0.0,0.0,,
36005027600,BRONX,0,0,0.0,23,0.709654223084445,32.41015025603973,0.0,0.0,,
36005027700,BRONX,0,0,0.0,4968,0.06796131585329943,73100.40921991375,0.0,0.0,,
36005027900,BRONX,0,0,0.0,8145,0.1066919955860338,76341.24711288273,0.0,0.0,,
36005028100,BRONX,0,0,0.0,3720,0.04986818259949464,74596.66276343702,0.0,0.0,,
36005028300,BRONX,0,0,0.0,2084,0.08781584715460335,23731.479767325298,0.0,0.0,,
36005028400,BRONX,0,0,0.0,297,0.43424562284959684,683.9447178558377,0.0,0.0,,
36005028500,BRONX,0,0,0.0,3440,0.1017989229301906,33792.10605557199,0.0,0.0,,
36005028600,BRONX,0,0,0.0,1395,0.07722738155736167,18063.541348528634,0.0,0.0,,
36005028700,BRONX,0,0,0.0,3953,0.05996243743373787,65924.60495569922,0.0,0.0,,
36005028800,BRONX,0,0,0.0,3055,0.12980445690154155,23535.401425524695,0.0,0.0,,
36005028900,BRONX,0,0,0.0,4736,0.07766213258793686,60982.10082806348,0.0,0.0,,
36005029301,BRONX,0,0,0.0,1954,0.11073062416491171,17646.42811992008,0.0,0.0,,
36005029302,BRONX,0,0,0.0,5248,0.16418492361341383,31963.95798408887,0.0,0.0,,
36005029500,BRONX,0,0,0.0,4615,0.09130080523805957,50547.19931512932,0.0,0.0,,
36005029600,BRONX,0,0,0.0,2878,0.27927271063804227,10305.339155496999,0.0,0.0,,
36005029700,BRONX,0,0,0.0,4005,0.08985755536924067,44570.542605379625,0.0,0.0,,
36005030000,BRONX,0,0,0.0,6591,0.16050189512259963,41064.93568169681,0.0,0.0,,
36005030100,BRONX,0,0,0.0,1627,0.056370915154510114,28862.401746369862,0.0,0.0,,
36005030201,BRONX,0,0,0.0,4048,0.08555869393547139,47312.55017816206,0.0,0.0,,
36005030202,BRONX,0,0,0.0,6063,0.07062349023679496,85849.6228332987,0.0,0.0,,
36005030701,BRONX,0,0,0.0,5799,0.1531798537870508,37857.458775628,0.0,0.0,,
36005030900,BRONX,0,0,0.0,3947,0.5273587916200897,7484.467999242965,0.0,0.0,,
36005031000,BRONX,0,0,0.0,4372,0.24689070869904498,17708.24031020699,0.0,0.0,,
36005031200,BRONX,0,0,0.0,1555,0.07801618826736623,19931.76076061189,0.0,0.0,,
36005031400,BRONX,0,0,0.0,2071,0.08154245928179184,25397.81137631751,0.0,0.0,,
36005031600,BRONX,0,0,0.0,2071,0.06840571943783944,30275.246237004005,0.0,0.0,,
36005031800,BRONX,0,0,0.0,1961,0.0688674976195161,28474.971035455186,0.0,0.0,,
36005031900,BRONX,0,0,0.0,454,0.0823053971471707,5516.041665994277,0.0,0.0,,
36005032300,BRONX,0,0,0.0,5001,0.2166731954611174,23080.842968863875,0.0,0.0,,
36005032400,BRONX,0,0,0.0,3113,0.10326495282636645,30145.75530997738,0.0,0.0,,
36005032600,BRONX,0,0,0.0,3494,0.1282229824599465,27249.40516097755,0.0,0.0,,
36005032800,BRONX,0,0,0.0,4133,0.0790254593099271,52299.60111703921,0.0,0.0,,
36005033000,BRONX,0,0,0.0,5837,0.07958685184852066,73341.26007534117,0.0,0.0,,
36005033201,BRONX,0,0,0.0,4103,0.04402877355294114,93189.05953776944,0.0,0.0,,
36005033202,BRONX,0,0,0.0,4204,0.044480513078494405,94513.29827471268,0.0,0.0,,
36005033400,BRONX,0,0,0.0,69,1.184409298311412,58.25688813687285,0.0,0.0,,
36005033500,BRONX,0,0,0.0,2440,0.26894486399785056,9072.491527555258,0.0,0.0,,
36005033601,BRONX,2,1,50.0,4306,0.049421076299844484,87128.81876296875,40.47,0.46,2.0,0.0
36005033602,BRONX,0,0,0.0,1555,0.021774231233826012,71414.6912146467,0.0,0.0,,
36005033700,BRONX,0,0,0.0,3838,0.16381001841742046,23429.580419312413,0.0,0.0,,
36005033801,BRONX,0,0,0.0,2337,0.04416275100197275,52917.89906601621,0.0,0.0,,
36005033802,BRONX,0,0,0.0,1737,0.018146415351690554,95721.38443520074,0.0,0.0,,
36005034000,BRONX,0,0,0.0,4858,0.061136960200176366,79460.93466364371,0.0,0.0,,
36005034200,BRONX,0,0,0.0,1732,0.060548926612639935,28604.966213198488,0.0,0.0,,
36005034300,BRONX,0,0,0.0,1706,0.04690948175820004,36367.91403481625,0.0,0.0,,
36005034400,BRONX,0,0,0.0,1930,0.06062267212493111,31836.273993707484,0.0,0.0,,
36005034500,BRONX,0,0,0.0,3754,0.10603407750779212,35403.712544432994,0.0,0.0,,
36005034800,BRONX,0,0,0.0,6640,0.16890733911515912,39311.49489882688,0.0,0.0,,
36005035000,BRONX,0,0,0.0,2284,0.07398721224245312,30870.199467921884,0.0,0.0,,
36005035100,BRONX,0,0,0.0,3539,0.22411994779389163,15790.651545459868,0.0,0.0,,
36005035600,BRONX,0,0,0.0,2261,0.15612465495063604,14482.0175949461,0.0,0.0,,
36005035800,BRONX,0,0,0.0,7542,0.2515343593604374,29983.975227784504,0.0,0.0,,
36005035900,BRONX,0,0,0.0,3731,0.051865489065893826,71936.08056524555,0.0,0.0,,
36005036000,BRONX,0,0,0.0,3024,0.10277112816552661,29424.606443255587,0.0,0.0,,
36005036100,BRONX,0,0,0.0,5569,0.06364276320944191,87504.05732185108,0.0,0.0,,
36005036300,BRONX,0,0,0.0,7074,0.08550850065485437,82728.61698924439,0.0,0.0,,
36005036400,BRONX,0,0,0.0,2603,0.07864244596860331,33099.17396311916,0.0,0.0,,
36005036501,BRONX,0,0,0.0,3897,0.03699901155144685,105327.13812046709,0.0,0.0,,
36005036502,BRONX,1,1,100.0,2449,0.03770635070598838,64949.271253955085,26.52,0.41,0.0,1.0
36005036700,BRONX,0,0,0.0,2672,0.035931825185097084,74363.04685986912,0.0,0.0,,
36005036800,BRONX,0,0,0.0,2165,0.06545589894619246,33075.70493806406,0.0,0.0,,
36005036901,BRONX,0,0,0.0,1910,0.03812063832215817,50104.092797674515,0.0,0.0,,
36005036902,BRONX,0,0,0.0,2324,0.02409509130912574,96451.1804576483,0.0,0.0,,
36005037000,BRONX,0,0,0.0,2536,0.06134584146797493,41339.39545558108,0.0,0.0,,
36005037100,BRONX,0,0,0.0,4504,0.07651733968771,58862.47507273727,0.0,0.0,,
36005037200,BRONX,0,0,0.0,2289,0.07201963564226556,31782.99889449418,0.0,0.0,,
36005037300,BRONX,1,1,100.0,6117,0.06697057771435098,91338.61777467093,14.93,0.16,0.0,1.0
36005037400,BRONX,0,0,0.0,3890,0.06450608763605482,60304.385873585925,0.0,0.0,,
