crash_date,crash_time,latitude,longitude,on_street_name,zip_code,precinct,collision_type,roadway_type,geocode_dist_feet,time_is_known,borough,location,source,injury,fatality,injured_pedestrian,injured_cyclist,injured_ebike_rider,injured_motorcyclist,injured_moped_rider,injured_car_occupant,injured_suv_occupant,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,collision_id,cross_street_name,off_street_name,vehicle_type_code1
2026-06-21,00:00,40.6427099,-73.9942742,NEW UTRECHT AVE,11219,66,UNKNOWN,Street,0.20961115547072057,False,BROOKLYN,"(40.6427099, -73.9942742)",trafficstat,True,False,False,False,False,True,False,False,False,,,,,,,
2026-06-20,00:00,40.6354089,-74.0076479,59 ST,11220,66,UNKNOWN,Street,32.77832867172031,False,BROOKLYN,"(40.6354089, -74.0076479)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-20,00:00,40.6344209,-74.0091463,61 ST,11220,66,UNKNOWN,Street,32.440403930992694,False,BROOKLYN,"(40.6344209, -74.0091463)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-20,00:00,40.6212207,-73.9693959,OCEAN PKWY,11230,66,UNKNOWN,Street,64.88971205123609,False,BROOKLYN,"(40.6212207, -73.9693959)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-19,00:00,40.637688,-73.99652,49 ST,11219,66,UNKNOWN,Street,1.3863152902436489,False,BROOKLYN,"(40.637688, -73.99652)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-18,00:00,40.6357601,-73.9948477,NEW UTRECHT AVE,11219,66,UNKNOWN,Street,0.2553734824628739,False,BROOKLYN,"(40.6357601, -73.9948477)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-18,00:00,40.6233698,-73.9894884,60 ST,11204,66,OTHER,Street,1.9941023728336777,False,BROOKLYN,"(40.6233698, -73.9894884)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-06-18,00:00,40.6278334,-73.9905465,56 ST,11219,66,UNKNOWN,Street,37.751325852827584,False,BROOKLYN,"(40.6278334, -73.9905465)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-17,00:00,40.6329835,-74.0025856,58 ST,11219,66,UNKNOWN,Street,47.29593245839423,False,BROOKLYN,"(40.6329835, -74.0025856)",trafficstat,True,False,False,False,False,False,True,False,False,,,,,,,
2026-06-17,00:00,40.6397291,-73.9792755,MCDONALD AVE,11218,66,UNKNOWN,Street,31.956247572273075,False,BROOKLYN,"(40.6397291, -73.9792755)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-16,00:00,40.6392242,-74.0020898,51 ST,11219,66,UNKNOWN,Street,2.261615579663918,False,BROOKLYN,"(40.6392242, -74.0020898)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-06-16,00:00,40.6284995,-73.9976616,60 ST,11219,66,OTHER,Street,51.865321676231126,False,BROOKLYN,"(40.6284995, -73.9976616)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-16,00:00,40.6339872,-73.9921441,50 ST,11219,66,UNKNOWN,Street,43.17539804555099,False,BROOKLYN,"(40.6339872, -73.9921441)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-16,00:00,40.6116627,-73.9668471,E  7 ST,11230,66,UNKNOWN,Street,41.13814565362475,False,BROOKLYN,"(40.6116627, -73.9668471)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-15,00:00,40.62445,-73.9680217,E  8 ST,11230,66,UNKNOWN,Street,0.19627792285371612,False,BROOKLYN,"(40.62445, -73.9680217)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-06-15,00:00,40.6273136,-73.9853845,53 ST,11204,66,OTHER,Street,2.0183503996687793,False,BROOKLYN,"(40.6273136, -73.9853845)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-15,00:00,40.6356756,-73.9768869,E  2 ST,11218,66,UNKNOWN,Street,0.43134737363780307,False,BROOKLYN,"(40.6356756, -73.9768869)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-14,00:00,40.6394205,-73.9728449,OCEAN PKWY,11218,66,UNKNOWN,Street,64.86998861723303,False,BROOKLYN,"(40.6394205, -73.9728449)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-14,00:00,40.6164204,-73.9744442,MCDONALD AVE,11230,66,UNKNOWN,Street,0.3879792020092726,False,BROOKLYN,"(40.6164204, -73.9744442)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-06-13,00:00,40.619152,-73.97186,E  4 ST,11230,66,OTHER,Street,1.3358651123570073,False,BROOKLYN,"(40.619152, -73.97186)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
